Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0006ggi,6,"Sunday, October 30, 2011 03:25:02 UTC",13.8054,-91.2416,4.4,60.30,43,"offshore Guatemala"
us,b0006ggh,6,"Sunday, October 30, 2011 03:23:45 UTC",25.3612,123.0040,5.5,215.70,287,"northeast of Taiwan"
us,b0006gg7,4,"Sunday, October 30, 2011 02:10:47 UTC",-9.4057,-75.3951,4.9,31.80,131,"central Peru"
us,b0006gg5,6,"Sunday, October 30, 2011 02:10:40 UTC",-4.3482,144.3407,5.3,62.00,80,"near the north coast of New Guinea, Papua New Guinea"
ak,10345025,2,"Sunday, October 30, 2011 02:06:43 UTC",64.7103,-147.4251,2.5,21.40,30,"Central Alaska"
us,b0006gg3,5,"Sunday, October 30, 2011 02:02:14 UTC",4.8918,96.1406,4.7,18.60,27,"northern Sumatra, Indonesia"
us,b0006gg1,5,"Sunday, October 30, 2011 01:55:05 UTC",38.4899,43.7112,4.5,6.60,40,"eastern Turkey"
us,b0006gfz,7,"Sunday, October 30, 2011 01:44:26 UTC",-16.3029,-175.5204,4.4,329.40,86,"Tonga"
pr,11302002,0,"Saturday, October 29, 2011 23:44:44 UTC",19.1159,-65.6559,2.9,42.00, 4,"Puerto Rico region"
ak,10346215,2,"Saturday, October 29, 2011 22:56:58 UTC",51.8755,-171.6018,2.8,20.00,10,"Fox Islands, Aleutian Islands, Alaska"
us,b0006gep,A,"Saturday, October 29, 2011 22:24:24 UTC",38.7502,43.5914,4.9,10.80,101,"eastern Turkey"
us,b0006gej,4,"Saturday, October 29, 2011 22:16:02 UTC",36.6434,142.4581,4.9,33.60,44,"off the east coast of Honshu, Japan"
